"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"MACHRA BELKSSIRI  ","19465","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19465"
"MARRAKECH  ","19466","Maroc","Marrakech-Safi (MA)","HUB_MARRAKECH","19466"
"MARTIL  ","19467","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19467"
"MASSA​","19469","Maroc","Souss-Massa (MA)","HUB_AGADIR","19469"
"MASSA​","19468","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19468"
"MATMATA  ","19470","Maroc","Fès-Meknès (MA)","HUB_FES","19470"
"M'DIQ  ","19471","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19471"
"MÉDIOUNA","19474","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19474"
"MEHDIA  ","19472","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19472"
"MEKNES","19473","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19473"
"MELLILA  ","19475","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19475"
"MELOUSSA  ","19476","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_TANGER","19476"
"MERZOGA ","19477","Maroc","Drâa-Tafilalet (MA)","HUB_ERRACHIDIA","19477"
"MESKALA​","19478","Maroc","Marrakech-Safi (MA)","HUB_ESSAOUIRA","19478"
"MESSASSA  ","19479","Maroc","Fès-Meknès (MA)","HUB_FES","19479"
"MESSOUSSATE  ","19480","Maroc","L'Oriental (MA)","HUB_NADOR","19480"
"MEZRAOUA  ","19481","Maroc","Fès-Meknès (MA)","HUB_FES","19481"
"M'GARTO  ","19482","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19482"
"MGHILA  ","19483","Maroc","Béni Mellal-Khénifra (MA)","HUB_BENI MELLAL","19483"
"MHAMID EL GHIZLANE  ","19484","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19484"
"M'HAYA  ","19485","Maroc","Fès-Meknès (MA)","HUB_FES","19485"
"MIDAR  ","19486","Maroc","L'Oriental (MA)","HUB_NADOR","19486"
"MIDELT  ","19487","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19487"
"MIRLEFT​","19488","Maroc","Souss-Massa (MA)","HUB_TIZNIT","19488"
"MISSOUR  ","19489","Maroc","Fès-Meknès (MA)","HUB_FES","19489"
"MKAM TOLBA  ","19490","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19490"
"MNASRA  ","19491","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19491"
"MNOUD NEKKOUR  ","19492","Maroc","Tanger-Tétouan-Al Hoceïma (MA)","HUB_ALHOCEIMA","19492"
"MOHAMMEDIA","19493","Maroc","Casablanca-Settat (MA)","HUB_MOHAMMEDIA","19493"
"MOULAY ABDELAH AMGHAR​","19495","Maroc","Casablanca-Settat (MA)","HUB_EL JADIDA","19495"
"MOULAY ABDELKRIM  ","19496","Maroc","Fès-Meknès (MA)","HUB_FES","19496"
"MOULAY BOUCHTA  ","19497","Maroc","Fès-Meknès (MA)","HUB_FES","19497"
"MOULAY BOUSELHAM  ","19498","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19498"
"MOULAY BOUSLHAM  ","19499","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19499"
"MOULAY DRISS ARHBAL  ","19500","Maroc","Rabat-Salé-Kénitra (MA)","HUB_SALE","19500"
"MOULAY DRISS ZERHOUN  ","19501","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19501"
"MOULAY YAKOUB  ","19502","Maroc","Fès-Meknès (MA)","HUB_FES","19502"
"MOUL BARGUI​","19494","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19494"
"MRIRT  ","19503","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19503"
"MSEMRIR  ","19504","Maroc","Drâa-Tafilalet (MA)","HUB_OUARZAZATE","19504"
"MTARNARGHA  ","19505","Maroc","Fès-Meknès (MA)","HUB_FES","19505"
